Name	Set	Imagefile	Copies	Type	Class/Encounter Set	Unique	Traits	Number	Script
Roland Banks The Fed	Core	AHC01_1a,AHC01_1b	1	Investigator	Guardian	*	Agency. Detective	1	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Roland Banks Mini Card	Core	AHC01_1mini,AHC01_1bmini	1	Investigator Mini Card					
Daisy Walker The Librarian	Core	AHC01_2a,AHC01_2b	1	Investigator	Seeker	*	Miskatonic.	2	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Daisy Walker Mini Card	Core	AHC01_2mini,AHC01_2bmini	1	Investigator Mini Card					
Skids OToole The Ex-Con	Core	AHC01_3a,AHC01_3b	1	Investigator	Rogue	*	Criminal.	3	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Skids OToole Mini Card	Core	AHC01_3mini,AHC01_3bmini	1	Investigator Mini Card					
Agnes Baker The Waitress	Core	AHC01_4a,AHC01_4b	1	Investigator	Mystic	*	Sorcerer	4	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Agnes Baker Mini Card	Core	AHC01_4mini,AHC01_4bmini	1	Investigator Mini Card					
Wendy Adams The Urchin	Core	AHC01_5a,AHC01_5b	1	Investigator	Survivor	*	Drifter.	5	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Wendy Adams Mini Card	Core	AHC01_5mini,AHC01_5bmini	1	Investigator Mini Card					
Rolands 38 Special	Core	AHC01_6	1	Asset	Starter	*	Item. Weapon. Firearm.	6	
Cover Up	Core	AHC01_7	1	Treachery	Weakness		Task.	7	
Daisys Tote Bag	Core	AHC01_8	1	Asset	Starter	*	Item.	8	
The Necronomicon (John D. Translation)	Core	AHC01_9	1	Asset	Weakness		Item. Tome.	9	
On The Lam	Core	AHC01_10	1	Event	Starter		Tactic.	10	
Hard Knocks	Core	AHC01_49	1	Asset	Rogue		Talent.	49
Elusive	Core	AHC01_50	1	Event	Rogue		Tactic.	50
Backstab	Core	AHC01_51	1	Event	Rogue		Tactic.	51
Sneak Attack	Core	AHC01_52	1	Event	Rogue		Tactic.	52
Opportunist	Core	AHC01_53	1	Skill	Rogue		Innate.	53
Leo De Luca (Level 1)	Core	AHC01_54	1	Asset	Rogue	*	Ally. Criminal.	54
Cat Burglar (Level 1)	Core	AHC01_55	1	Asset	Rogue		Ally. Criminal.	55
Sure Gamble Level 3)	Core	AHC01_56	1	Event	Rogue		Fortune. Insight.	56
Hot Streak (Level 4)	Core	AHC01_57	1	Event	Rogue		Fortune.	57
Forbidden Knowledge	Core	AHC01_58	1	Asset	Mystic		Talent.	58
Holy Rosary	Core	AHC01_59	1	Asset	Mystic		Item. Charm.	59
Shrivelling	Core	AHC01_60	1	Asset	Mystic		Spell.	60
Scrying	Core	AHC01_61	1	Asset	Mystic		Spell.	61
Arcane Studies	Core	AHC01_62	1	Asset	Mystic		Talent.	62
Arcane Initiate	Core	AHC01_63	1	Asset	Mystic		Ally. Sorcerer.	63
Drawn to the Flame	Core	AHC01_64	1	Event	Mystic		Insight.	64
Ward of Protection	Core	AHC01_65	1	Event	Mystic		Spell. Spirit.	65
Blinding Light	Core	AHC01_66	1	Event	Mystic		Spell.	66
Fearless	Core	AHC01_67	1	Skill	Mystic		Innate.	67
Mind Warp (Level 1)	Core	AHC01_68	1	Event	Mystic		Spell.	68
Blinding Light (Level 2)	Core	AHC01_69	1	Event 	Mystic		Spell.	69
Book of Shadows (Level 3)	Core	AHC01_70	1	Asset	Mystic		Item. Tome.	70
Grotesque Statue (Level 4)	Core	AHC01_71	1	Asset	Mystic		Item. Relic.	71
Leather Coat	Core	AHC01_72	1	Asset	Survivor		Item. Armor.	72
Scavenging	Core	AHC01_73	1	Asset	Survivor		Talent.	73
Baseball Bat	Core	AHC01_74	1	Asset	Survivor		Item. Weapon. Melee.	74
Rabbit's Foot	Core	AHC01_75	1	Asset	Survivor		Item. Charm.	75
Stray Cat	Core	AHC01_76	1	Asset	Survivor		Ally. Creature.	76
Dig Deep	Core	AHC01_77	1	Asset	Survivor		Talent.	77
Cunning Distraction	Core	AHC01_78	1	Asset	Survivor		Tactic.	78
Look What I Found!	Core	AHC01_79	1	Event	Survivor		Fortune.	79
Lucky!	Core	AHC01_80	1	Event	Survivor		Fortune.	80
Survival instinct	Core	AHC01_81	1	Skill	Survivor		Innate.	81
Aquinnah (Level 1)	Core	AHC01_82	1	Asset	Survivor	*	Ally.	82
Close Call (Level 2)	Core	AHC01_83	1	Event	Survivor		Fortune.	83
Lucky! (Level 2)	Core	AHC01_84	1	Event	Survivor		Fortune.	84
Will to Survive (Level 2)	Core	AHC01_85	1	Event	Survivor		Spirit.	85
Knife	Core	AHC01_86	4	Asset	Neutral		Item. Weapon. Melee.	86
Flashlight	Core	AHC01_87	4	Asset	Neutral		Item. Tool.	87
Emergency Cache	Core	AHC01_88	4	Event	Neutral		Supply.	88
Guts	Core	AHC01_89	2	Skill	Neutral		Innate.	89
Perception	Core	AHC01_90	2	Skill	Neutral		Practiced.	90
Overpower	Core	AHC01_91	2	Skill	Neutral		Practiced.	91
Manual Dexterity	Core	AHC01_92	2	Skill	Neutral		Innate.	92
Unexpected Courage	Core	AHC01_93	2	Skill	Neutral		Innate.	93
Bulletproof Vest (Level 3)	Core	AHC01_94	2	Asset	Neutral		Item. Armor.	94
Elder Sign Amulet (Level 3)	Core	AHC01_95	2	Asset	Neutral		Item. Relic.	95
Amnesia	Core	AHC01_96	2	Treachery	Basic Weakness		Madness.	96
Paranoia	Core	AHC01_97	2	Treachery	Basic Weakness		Madness.	97
Haunted	Core	AHC01_98	1	Treachery	Basic Weakness		Curse	98
Psychosis	Core	AHC01_99	1	Treachery	Basic Weakness		Madness.	99
Hypochondria	Core	AHC01_100	1	Treachery	Basic Weakness		Madness.	100
Mob Enforcer	Core	AHC01_101	1	Enemy	Basic Weakness		Humanoid. Criminal.	101
Silver Twilight Acolyte	Core	AHC01_102	1	Enemy	Basic Weakness		Humanoid. Cultist. Silver Twilight.	102
Stubborn Detective	Core	AHC01_103	1	Enemy	Basic Weakness		Humanoid. Detective.	103
Auto Fail Token	Core	failtoken,encounter	1	Chaos				
Elder Sign Token	Core	eldersigntoken,encounter	1	Chaos				
Cultist Token	Core	cultisttoken,encounter	1	Chaos				
Skull Token	Core	skulltoken,encounter	1	Chaos				
Elder Thing Token	Core	squidtoken,encounter	1	Chaos				
Tablet Token	Core	organtoken,encounter	1	Chaos				
Minus 1 Token	Core	minusonetoken,encounter	1	Chaos				
Minus 2 Token	Core	minustwotoken,encounter	1	Chaos				
Minus 3 Token	Core	minusthreetoken,encounter	1	Chaos				
Minus 4 Token	Core	minusfourtoken,encounter	1	Chaos				
Minus 5 Token	Core	minusfivetoken,encounter	1	Chaos				
Minus 6 Token	Core	minussixtoken,encounter	1	Chaos				
Minus 8 Token	Core	minuseighttoken,encounter	1	Chaos				
Zero Token	Core	zerotoken,encounter	1	Chaos				
Plus 1 Token	Core	plusonetoken,encounter	1	Chaos				
The Gathering 1	Core	AHC01_104c,AHC01_104b	1	Scenario	The Gathering (Torch)			104
What's Going On? (Agenda 1)	Core	AHC01_105a,AHC01_105b	1	Agenda	The Gathering (Torch)			105
Rise of the Ghouls (Agenda 2)	Core	AHC01_106a,AHC01_106b	1	Agenda	The Gathering (Torch)			106
They're Getting Out (Agenda 3)	Core	AHC01_107a,AHC01_107b	1	Agenda	The Gathering (Torch)			107
Trapped (Act 1)	Core	AHC01_108a,AHC01_108b	1	Act	The Gathering (Torch)			108
The Barrier (Act 2)	Core	AHC01_109a,AHC01_109b	1	Act	The Gathering (Torch)			109
What Have You done? (Act 3)	Core	AHC01_110a,AHC01_110b	1	Act	The Gathering (Torch)			110
Study	Core	AHC01_111a,AHC01_111b	1	Location	The Gathering (Torch)			111
Hallway	Core	AHC01_112a,AHC01_112b	1	Location	The Gathering (Torch)			112
Attic	Core	AHC01_113a,AHC01_113b	1	Location	The Gathering (Torch)			113
Cellar	Core	AHC01_114a,AHC01_114b	1	Location	The Gathering (Torch)			114
Parlor	Core	AHC01_115a,AHC01_115b	1	Location	The Gathering (Torch)			115
Ghoul Priest	Core	AHC01_116,encounter	1	Enemy	The Gathering (Torch)	*	Humanoid. Monster. Ghoul. Elite	116
Lita Chantler: The Zealot	Core	AHC01_117,encounter	1	Ally	The Gathering (Torch)			117
Flesh-Eater	Core	AHC01_118,encounter	1	Enemy	The Gathering (Torch)		Humanoid. Monster. Ghoul.	118
Icy Ghoul	Core	AHC01_119,encounter	1	Enemy	The Gathering (Torch)		Humanoid. Monster. Ghoul.	119
The Midnight Masks Difficulty	Core	AHC01_120a,AHC01_120b	1	Scenario	The Midnight Masks (House)			120
Predator or Prey?/The Masked Hunter	Core	AHC01_121a,AHC01_121b	1	Agenda	The Midnight Masks (House)			121
Time is Running Short	Core	AHC01_122a,AHC01_122b	1	Agenda	The Midnight Masks (House)			122
Uncovering The Conspiracy	Core	AHC01_123a,AHC01_123b	1	Act	The Midnight Masks (House)			123
Your House	Core	AHC01_124a,AHC01_124b	1	Location	The Midnight Masks (House)			124
Rivertown	Core	AHC01_125a,AHC01_125b	1	Location	The Midnight Masks (House)			125
SouthsideA	Core	AHC01_126a,AHC01_126b	1	Location	The Midnight Masks (House)			126
SouthsideB	Core	AHC01_127a,AHC01_127b	1	Location	The Midnight Masks (House)			127
St. Mary's Hospital	Core	AHC01_128a,AHC01_128b	1	Location	The Midnight Masks (House)			128
Miskatonic University	Core	AHC01_129a,AHC01_129b	1	Location	The Midnight Masks (House)			129
DowntownA	Core	AHC01_130a,AHC01_130b	1	Location	The Midnight Masks (House)			130
DowntownB	Core	AHC01_131a,AHC01_131b	1	Location	The Midnight Masks (House)			131
Easttown	Core	AHC01_132a,AHC01_132b	1	Location	The Midnight Masks (House)			132
Graveyard	Core	AHC01_133a,AHC01_133b	1	Location	The Midnight Masks (House)			133
Northside	Core	AHC01_134a,AHC01_134b	1	Location	The Midnight Masks (House)			134
Hunting Shadow	Core	AHC01_135,encounter	3	Treachery	The Midnight Masks (House)			135
False Lead	Core	AHC01_136,encounter	2	Treachery	The Midnight Masks (House)			136
Wolf-Man Drew	Core	AHC01_137,encounter	1	Enemy	Cult of Umordhoth (Face)	*		137
Herman Collins	Core	AHC01_138,encounter	1	Enemy	Cult of Umordhoth (Face)	*		138
Peter Warren	Core	AHC01_139,encounter	1	Enemy	Cult of Umordhoth (Face)	*		139
Victoria Devereux	Core	AHC01_140,encounter	1	Enemy	Cult of Umordhoth (Face)	*		140
Ruth Turner	Core	AHC01_141,encounter	1	Enemy	Cult of Umordhoth (Face)	*		141
The Devourer Below Difficulty	Core	AHC01_142a,AHC01_142b	1	Scenario	The Devourer Below (Tentactles)			142
The Arkham Woods	Core	AHC01_143a,AHC01_143b	1	Agenda	The Devourer Below (Tentactles)			143
The Ritual Begins	Core	AHC01_144a,AHC01_144b	1	Agenda	The Devourer Below (Tentactles)			144
Vengeance Awaits	Core	AHC01_145a,AHC01_145b	1	Agenda	The Devourer Below (Tentactles)			145
Investigating The Trail	Core	AHC01_146a,AHC01_146b	1	Act	The Devourer Below (Tentactles)			146
Into The Darkness	Core	AHC01_147a,AHC01_147b	1	Act	The Devourer Below (Tentactles)			147
Disrupting The Ritual	Core	AHC01_148a,AHC01_148b	1	Act	The Devourer Below (Tentactles)			148
Main Path	Core	AHC01_149a,AHC01_149b	1	Location	The Devourer Below (Tentactles)			149
Arkham Woods 1 of 6	Core	AHC01_150a,AHC01_150b	1	Location	The Devourer Below (Tentactles)			150
Arkham Woods 2 of 6	Core	AHC01_151a,AHC01_151b	1	Location	The Devourer Below (Tentactles)			151
Arkham Woods 3 of 6	Core	AHC01_152a,AHC01_152b	1	Location	The Devourer Below (Tentactles)			152
Arkham Woods 4 of 6	Core	AHC01_153a,AHC01_153b	1	Location	The Devourer Below (Tentactles)			153
Arkham Woods 5 of 6	Core	AHC01_154a,AHC01_154b	1	Location	The Devourer Below (Tentactles)			154
Arkham Woods 6 of 6	Core	AHC01_155a,AHC01_155b	1	Location	The Devourer Below (Tentactles)			155
Ritual Site	Core	AHC01_156a,AHC01_156b	1	Location	The Devourer Below (Tentactles)			156
Umordhoth	Core	AHC01_157,encounter	1	Enemy	The Devourer Below (Tentactles)	*		157
Umordhoth's Wrath	Core	AHC01_158,encounter	2	Treachery	The Devourer Below (Tentactles)			158
Swarm of Rats	Core	AHC01_159,encounter	3	Enemy	Rats (Rat)			159
Ghoul Minion	Core	AHC01_160,encounter	3	Enemy	Ghouls (Ghoul)			160
Ravenous Ghoul	Core	AHC01_161,encounter	1	Enemy	Ghouls (Ghoul)			161
Grasping Hands	Core	AHC01_162,encounter	3	Treachery	Ghouls (Ghoul)			162
Rotting Remains	Core	AHC01_163,encounter	3	Treachery	Striking Fear (Three Prongs)			163
Frozen in Fear	Core	AHC01_164,encounter	2	Treachery	Striking Fear (Three Prongs)			164
Dissonant Voices	Core	AHC01_165,encounter	2	Treachery	Striking Fear (Three Prongs)			165
Ancient Evils	Core	AHC01_166,encounter	3	Treachery	Ancient Evils (Flower)			166
Crypt Chill	Core	AHC01_167,encounter	2	Treachery	Chilling Cold (Breeze over Triangle)			167
Obscuring Fog	Core	AHC01_168,encounter	2	Treachery	Chilling Cold (Breeze over Triangle)			168
Acolyte	Core	AHC01_169,encounter	3	Enemy	Dark Cult (Cult Rune)			169
Wizard of the Order	Core	AHC01_170,encounter	1	Enemy	Dark Cult (Cult Rune)			170
Mysterious Chanting	Core	AHC01_171,encounter	2	Treachery	Dark Cult (Cult Rune)			171
Hunting Nightgaunt	Core	AHC01_172,encounter	2	Enemy	Nightgaunts (Nightgaunt)			172
On Wings of Darkness	Core	AHC01_173,encounter	2	Treachery	Nightgaunts (Nightgaunt)			173
Locked Door	Core	AHC01_174,encounter	2	Treachery	Locked Door (Locked Door)			174
Screeching Byakhee	Core	AHC01_175,encounter	2	Enemy	Agents of Hastur (? Rune)			175
The Yellow Sign	Core	AHC01_176,encounter	2	Treachery	Agents of Hastur (? Rune)			176
Yithian Observer	Core	AHC01_177,encounter	2	Enemy	Agents of Yog (Key)			177
Offer of Power	Core	AHC01_178,encounter	2	Treachery	Agents of Yog (Key)			178
Restless Dark Young	Core	AHC01_179,encounter	1	Enemy	Agents of Shub (Goat)			179
Goat Spawn	Core	AHC01_180,encounter	3	Enemy	Agents of Shub (Goat)			180
Young Deep One	Core	AHC01_181,encounter	2	Enemy	Agents of Cthuhlu (Cthuhlu)			181
Dreams of Ralyeh	Core	AHC01_182,encounter	2	Treachery	Agents of Cthuhlu (Cthuhlu)			182
Curse of the Rougarou 1	Side	AHS_CotR_1a,AHS_CotR_1b	1	Side-Story	Curse of the Rougarou			
Curse of the Rougarou 2	Side	AHS_CotR_2a,AHS_CotR_2b	1	Side-Story	Curse of the Rougarou			
Curse of the Rougarou 3	Side	AHS_CotR_3a,AHS_CotR_3b	1	Side-Story	Curse of the Rougarou			
Curse of the Rougarou 4	Side	AHS_CotR_4a,AHS_CotR_4b	1	Side-Story	Curse of the Rougarou			
Curse of the Rougarou Difficulty	CotR	AHCotR_1a,AHCotR_1b	1	Scenario	Curse of the Rougarou			
A Creature of the Bayou	CotR	AHCotR_2a,AHCotR_2b	1	Agenda	Curse of the Rougarou
The Rougarou Feeds	CotR	AHCotR_3a,AHCotR_3b	1	Agenda	Curse of the Rougarou
The Curse Spreads	CotR	AHCotR_4a,AHCotR_4b	1	Agenda	Curse of the Rougarou
Finding Lady Esprit	CotR	AHCotR_5a,AHCotR_5b	1	Act	Curse of the Rougarou
Hunting the Rougarou	CotR	AHCotR_6a,AHCotR_6b	1	Act	Curse of the Rougarou
Cursed Shores	CotR	AHCotR_7a,AHCotR_7b	1	Location	The Bayou
New Orleans/Garden District	CotR	AHCotR_8a,AHCotR_8b	1	Location	The Bayou
New Orleans/Broadmoor	CotR	AHCotR_9a,AHCotR_9b	1	Location	The Bayou
Brackish Water	CotR	AHCotR_10a,AHCotR_10b	1	Location	The Bayou
Riverside/Audobon Park	CotR	AHCotR_11a,AHCotR_11b	1	Location	The Bayou
Riverside/Faubourg Marigny	CotR	AHCotR_12a,AHCotR_12b	1	Location	The Bayou
Forgotten Marsh	CotR	AHCotR_13a,AHCotR_13b	1	Location	The Bayou
Wilderness/Trapper's Cabin	CotR	AHCotR_14a,AHCotR_14b	1	Location	The Bayou
Wilderness/Twisted Underbrush	CotR	AHCotR_15a,AHCotR_15b	1	Location	The Bayou
Foul Swamp	CotR	AHCotR_16a,AHCotR_16b	1	Location	The Bayou
Unhallowed Land/Ritual Grounds	CotR	AHCotR_17a,AHCotR_17b	1	Location	The Bayou
Unhallowed Land/Overgrown Cairns	CotR	AHCotR_18a,AHCotR_18b	1	Location	The Bayou		
Lady Esprit: Dangerous Bokor	CotR	AHCotR_19,encounter	1	Asset	The Bayou	*	Ally. Sorcerer.
Bear Trap	CotR	AHCotR_20,encounter	1	Asset	The Bayou		Trap
Fishing Net	CotR	AHCotR_21,encounter	1	Asset	The Bayou		Trap
Bog Gator	CotR	AHCotR_22,encounter	2	Enemy	The Bayou		
Swamp Leech	CotR	AHCotR_23,encounter	3	Enemy	The Bayou		
Cursed Swamp	CotR	AHCotR_24,encounter	3	Treachery	The Bayou		
Spectral Mist	CotR	AHCotR_25,encounter	3	Treachery	The Bayou		
Dragged Under	CotR	AHCotR_26,encounter	4	Treachery	The Bayou		
Ripples on the Surface	CotR	AHCotR_27,encounter	3	Treachery	The Bayou		
The Rougarou	CotR	AHCotR_28,encounter	1	Enemy	Curse of the Rougarou		
Curse of the Rougarou	CotR	AHCotR_29,encounter	1	Weakness	Curse of the Rougarou		
Monstrous Transformation	CotR	AHCotR_30,encounter	1	Asset	Curse of the Rougarou		
Slime-Covered Dhole	CotR	AHCotR_31,encounter	2	Enemy	Curse of the Rougarou		
Marsh Gug	CotR	AHCotR_32,encounter	2	Enemy	Curse of the Rougarou		
Dark Young Host	CotR	AHCotR_33,encounter	1	Enemy	Curse of the Rougarou		
On the Prowl	CotR	AHCotR_34,encounter	5	Treachery	Curse of the Rougarou				
Beast of the Bayou	CotR	AHCotR_35,encounter	2	Treachery	Curse of the Rougarou				
Insatiable Bloodlust	CotR	AHCotR_36,encounter	3	Treachery	Curse of the Rougarou				
Zoey Samaras	TDL	AHC02_01,AHC02_01b	1	Investigator	The Dunwich Legacy				<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Zoey Samaras Mini Card	TDL	AHC02_01mini,AHC02_01bmini	1	Investigator Mini Card	The Dunwich Legacy				
Rex Murphy	TDL	AHC02_02,AHC02_02b	1	Investigator	The Dunwich Legacy				<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Rex Murphy Mini Card	TDL	AHC02_02mini,AHC02_02bmini	1	Investigator Mini Card	The Dunwich Legacy				
Jenny Barnes	TDL	AHC02_03,AHC02_03b	1	Investigator	The Dunwich Legacy				<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Jenny Barnes Mini Card	TDL	AHC02_03mini,AHC02_03bmini	1	Investigator Mini Card	The Dunwich Legacy				
Jim Culver	TDL	AHC02_04,AHC02_04b	1	Investigator	The Dunwich Legacy				<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Jim Culver Mini Card	TDL	AHC02_4mini,AHC02_04bmini	1	Investigator Mini Card	The Dunwich Legacy				
Ashcan Pete	TDL	AHC02_05,AHC03_05b	1	Investigator	The Dunwich Legacy				<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Ashcan Pete Mini Card	TDL	AHC02_05mini,AHC03_05bmini	1	Investigator Mini Card	The Dunwich Legacy				
Zoeys Cross	TDL	AHC02_06	1	Asset	Starter				
Smite the Wicked	TDL	AHC02_07	1	Weakness	Starter				
Search for the Truth	TDL	AHC02_08	1	Asset	Starter				
Rexs Curse	TDL	AHC02_09	1	Weakness	Starter
Jennys Twin 45s	TDL	AHC02_10	1	Asset	Starter
Searching for Izzy	TDL	AHC02_11	1	Weakness	Starter
Jims Trumpet	TDL	AHC02_12	1	Asset	Starter
Final Rhapsody	TDL	AHC02_13	1	Weakness	Starter
Duke	TDL	AHC02_14	1	Asset	Starter
Wracked by Nightmares	TDL	AHC02_15	1	Weakness	Starter
Blackjack	TDL	AHC02_16	2	Asset	Guardian
Taunt (Level 0)	TDL	AHC02_17	2	Event	Guardian
Teamwork	TDL	AHC02_18	2	Event	Guardian
Taunt (Level 2)	TDL	AHC02_19	2	Event	Guardian
Laboratory Assistant	TDL	AHC02_20	2	Asset	Seeker
Strange Solution	TDL	AHC02_21	2	Asset	Seeker
Shortcut	TDL	AHC02_22	2	Event	Seeker
Seeking Answers	TDL	AHC02_23	2	Event	Seeker
Liquid Courage	TDL	AHC02_24	2	Asset	Rogue
Think on Your Feet	TDL	AHC02_25	2	Event	Rogue
Double or Nothing	TDL	AHC02_26	2	Skill	Rogue
Hired Muscle (Level 1)	TDL	AHC02_27	2	Asset	Rogue
Rite of Seeking	TDL	AHC02_28	2	Asset	Mystic
Ritual Candles	TDL	AHC02_29	2	Asset	Mystic
Clarity of Mind	TDL	AHC02_30	2	Asset	Mystic
Blind Monstwer (Level 2)	TDL	AHC02_31	2	Event	Mystic
Fire Axe	TDL	AHC02_32	2	Asset	Survivor
Peter Sylvestre	TDL	AHC02_33	2	Asset	Survivor
Bait and Switch	TDL	AHC02_34	2	Event	Survivor
Peter Sylvestre (Level 2)	TDL	AHC02_35	2	Asset	Survivor
Kukri	TDL	AHC02_36	2	Asset	Neutral
Indebted	TDL	AHC02_37	2	Treachery	Basic Weakness
Internal Injury	TDL	AHC02_38	2	Treachery	Basic Weakness
Chronophobia	TDL	AHC02_39	2	Treachery	Basic Weakness
Dr. Henry Armitage	TDL	AHC02_40	1	Asset	Extracurricular Activity
Extracurricular Activity 1	TDL	AHC02_41,AHC02_41b	1	Scenario	Extracurricular Activity
Quiet Halls	TDL	AHC02_42,AHC02_42b	1	Agenda	Extracurricular Activity
Dead of Night	TDL	AHC02_43,AHC02_43b	1	Agenda	Extracurricular Activity
The Beast Unleashed	TDL	AHC02_44,AHC02_44b	1	Agenda	Extracurricular Activity
After Hours	TDL	AHC02_45,AHC02_45b	1	Act	Extracurricular Activity
Rices Whereabouts	TDL	AHC02_46,AHC02_46b	1	Act	Extracurricular Activity
Campus Safety	TDL	AHC02_47,AHC02_47b	1	Act	Extracurricular Activity
Miskatonic Quad	TDL	AHC02_48,AHC02_48b	1	Location	Extracurricular Activity
Humanities Building	TDL	AHC02_49,AHC02_49b	1	Location	Extracurricular Activity
Orne Library	TDL	AHC02_50,AHC02_50b	1	Location	Extracurricular Activity
Student Union	TDL	AHC02_51,AHC02_51b	1	Location	Extracurricular Activity
Dormitories	TDL	AHC02_52,AHC02_52b	1	Location	Extracurricular Activity
Administration	TDL	AHC02_53,AHC02_53b	1	Location	Extracurricular Activity
